"Actions","Aktionen"
"Are you sure?","Sind Sie sicher?"
"Date Added","Datum hinzugefügt"
"Error while marking as read. Please try again later.","Fehler beim 'als gelesen' markieren. Bitte versuchen Sie es später nochmal."
"Error while marking. Please try again later.","Fehler beim Markieren. Bitte versuchen Sie es später nochmal."
"Error while removing. Please try again later.","Fehler beim Entfernen. Bitte versuchen Sie es später nochmal."
"Last update","Letztes Update"
"Mark as Read","Als gelesen markieren"
"Mark as read","Als gelesen markieren"
"Message","Nachricht"
"Message was successfully marked as read","Nachricht wurde erfolgreich 'als gelesen' markiert"
"Message was successfully removed","Nachricht wurde erfolgreich entfernt"
"Messages Inbox","Posteingang"
"Notifications","Benachrichtigungen"
"Please select messages","Bitte Nachrichten auswählen"
"Read Details","Details lesen"
"Remove","Entfernen"
"Severity","Schweregrad"
"Show List","Liste anzeigen"
"Show Toolbar","Toolbar anzeigen"
"Total of %d record(s) were successfully marked as read","Insgesamt %d Einträge wurdern erfolgreich als gelesen markiert"
"Total of %d record(s) were successfully removed","Insgesamt %d Einträge wurden erfolgreich entfernt"
"Unable to proceed. Please, try again","Kann nicht weiterfahren. Bitte versuchen Sie es später nochmal"
"Update frequency","Update-Häufigkeit"
"Use HTTPS to get feed","Feed über HTTPS holen"
"critical","kritisch"
"major","gross"
"minor","klein"
"notice","Bemerkung"
