"--Select--","--Auswählen--"
"Add New Option","Neue Option"
"Add Selection","Neue Auswahl"
"As low as","so tief wie"
"Bundle Items","Gebündelte Artikel"
"Bundle Product","Bündelprodukt"
"Buy %1$s with %2$s discount each","Kaufe %1$s mit je %2$s Rabatt"
"Checkbox","Checkbox"
"Choose a selection...","Eine Auswahl wählen..."
"Close","Schliessen"
"Default","Standard"
"Default Qty","Standardanzahl"
"Default Title","Standardtitel"
"Drop-down","Drop-Down"
"Dynamic","Dynamisch"
"Excl. Tax","exkl. Steuer"
"Fixed","Fest"
"From","Von"
"From:","Von:"
"Gift Message","Geschenknachricht"
"Incl. Tax","inkl. Steuer"
"Input Type","Eingabetyp"
"Is Required","benötigt"
"Message:","Nachricht:"
"Multiple Select","Mehrfach-Auswahl"
"N/A","K/A"
"No options of this product are available.","Für dieses Produkt sind keine Optionen verfügbar."
"None","Keine"
"Percent","Prozent"
"Percent Discount","Prozent Rabatt"
"Please enter search conditions to view products.","Bitte zur Ansicht der Produkte Suchkriterien eingeben."
"Please select options for product.","Bitte Optionen für Produkt wählen."
"Please select products to add","Bitte hinzuzufügende Produkte wählen"
"Please specify product option(s)","Bitte Produktoption(en) angeben"
"Position","Position"
"Price Range","Preisbereich"
"Price Type","Preistyp"
"Price as configured","Preis wie konfiguriert"
"Qty:","Anz:"
"Radio Buttons","Auswähl-Knöpfe"
"Required options not selected.","Benötigte Optionen nicht gewählt."
"Selected required options not available.","Ausgewählte benötigte Optionen nicht verfügbar."
"Separately","Separat"
"Ship Bundle Items","Produktbündel versenden"
"Shipment","Versand"
"Store View Title","Titel der Shop-Ansicht"
"There is no defined renderer for ""%s"" option type","Kein Renderer definiert für Optionstyp ""%s"""
"This product is also part of bundle(s)","Dieses Produkt ist auch Teil von Bündel"
"To","An"
"To:","An:"
"Together","Zusammen"
"User Defined Qty","Benutzerdefinierte Anz"
