"Cron (Scheduled Tasks) - all the times are in minutes","Cron (geplante Aufgaben) - alle Zeiten in Minuten"
"Daily","täglich"
"Failure history lifetime","Fehlerverlauf Vorhaltezeit"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set."
"Generate schedules every","Zeitplan generieren alle"
"History cleanup every","Protokoll löschen alle"
"Invalid callback: %s::%s does not exist","Ungültiger Callback: %s::%s existiert nicht"
"Invalid model/method definition, expecting ""model/class::method"".","Ungültige model/method Definition, erwarte ""model/class::method""."
"Missed if not run within","Verfallen, wenn Aufruf nicht innerhalb"
"Monthly","monatlich"
"No callbacks found","Keine Callbacks gefunden"
"Schedule ahead for","Im Voraus planen für"
"Success history lifetime","Vorhaltezeit Erfolgsverlauf"
"Too late for the schedule","Zu spät für den Zeitplan"
"Unable to save Cron expression","Cron-Werte konnten nicht gespeichert werden"
"Unknown error","Unbekannter Fehler"
"Weekly","wöchentlich"
