"Add New Row","Neue Zeile"
"An error occurred while saving the file(s).","Ein Fehler ist beim Speichern der Datei(en) aufgetreten."
"Availability: In stock.","Verfügbarkeit: Am Lager."
"Availability: Out of stock.","Verfügbarkeit: Nicht am Lager."
"Back","Zurück"
"Can't connect to remote host, error: %s","Kann nicht mit dem entfernten Host verbinden, Fehler: %s"
"Canceled","Abgebrochen"
"Date","Datum"
"Default Link Title","Standard-Linktitel"
"Default Maximum Number of Downloads","Standard-Maximum an Downloads"
"Default Sample Title","Standard-Mustertitel"
"Disable Guest Checkout if cart contains downloadable items","Gast-Bezahlvorgang deaktivieren, falls der Warenkorb herunterladbare Artikel aufweist"
"Downloadable Information","Herunterladbare Information"
"Downloadable Product","Herunterladbares Produkt"
"Downloadable Product Options","Herunterladbare Produktoptionen"
"Downloadable product Section","Bereich herunterladbare Produkte"
"Excl. Tax","Exkl. MwSt."
"File","Datei"
"File does not exists","Datei existiert nicht"
"From:","Von:"
"Gift Message","Geschenknachricht"
"Go to <a href=""%s"">My Downloadable Products</a>","Gehe zu <a href=""%s"">Meinen herunterladbaren Produkten</a>"
"Guest checkout will only work with shareable","Gast-Bezahlvorgang funktioniert nur wenn mitbenutzbar"
"Incl. Tax","Inkl. MwSt."
"Invalid download URL host","Ungültige Host für Download-URL"
"Invalid download URL scheme","Ungültiges Download-URL-Modell"
"Invalid download link type","Ungültiger Download-Linktyp"
"Invoiced","in Rechnung gestellt"
"Link has expired.","Link ist nicht mehr gültig."
"Link is not available.","Link ist nicht verfügbar."
"Links can be purchased separately","Links können separat gekauft werden"
"Max. Downloads","Max. Downloads"
"Message:","Nachricht:"
"My Downloadable Products","Meine herunterladbaren Produkte"
"Open Links in New Window","Links in neuem Fenster öffnen"
"Order #","Bestellung #"
"Order Item Status to enable Downloads","Bestellungsartikel-Status um Downloads zu erlauben"
"Ordered","Bestellt"
"Pending","Pendent"
"Please log in to download your product.","Bitte loggen Sie sich ein, um Ihr Produkt herunter zu laden."
"Please set resource file and link type","Bitte Quelldatei und Linktyp setzen"
"Please specify product link(s).","Bitte Produktlink(s) angeben."
"Price","Preis"
"Refunded","zurückerstattet"
"Remaining Downloads","Verbleibende Downloads"
"Remove item","Artikel entfernen"
"Requested link doesn't exist.","Gewählter Link existiert nicht."
"Sample","Muster"
"Shareable","Mitbenutzbar"
"Shipped","Versendet"
"Sorry, the was an error getting requested content. Please contact store owner.","Sorry, ein Fehler in der Anfrage des Inhalts ist aufgetaucht. Bitte wenden Sie sich an den Shopbetreiber."
"Sorry, there was an error getting requested content","Sorry, ein Fehler in der Anfrage des Inhalts ist aufgetaucht"
"Sorry, there was an error getting requested content. Please contact store owner.","Sorry, ein Fehler in der Anfrage des Inhalts ist aufgetaucht. Bitte wenden Sie sich an den Shopbetreiber."
"Sort Order","Sortierreihenfolge"
"Start Download","Download starten"
"Status","Status"
"Title","Titel"
"To:","An:"
"U","U"
"Unlimited","Unlimitiert"
"View Order","Bestellung anzeigen"
"You have not purchased any downloadable products yet.","Sie haben noch keine herunterladbaren Produkte gekauft."
"attachment","Anhang"
"download","download"
"inline","inline"
"sample","Muster"
"My Downloadable Products","My Downloadable Products"
"You have not purchased any downloadable products yet.","You have not purchased any downloadable products yet."
