"Account login","Konto Logoin"
"Account password","Konto Kennwort"
"Active","Aktiv"
"Add Attribute Mapping","Neue Attribut-Zuordnungs"
"Add New Attribute","Neues Attribute"
"Add to Google Base","Zu Google Base hinzufügen"
"Are you sure?","Sind Sie sicher?"
"Attribute","Attribut"
"Attribute Set","Attributset"
"Attribute Set and Item Type","Attributset und Artikeltyp"
"Attributes","Attribute"
"Attributes Set","Attributset"
"Attributes mapping","Attribut-Zuordnung"
"AuthSub","AuthSub"
"Available Products","Verfügbare Produkte"
"British Pound Sterling","Britisches Pfund"
"Cannot update Google Base Item for Store '%s'","Kann Google Base Artikel für Shop '%s' nicht aktualisieren"
"Captcha confirmation error: %s","Captcha-Bestätigung Fehler: %s"
"Captcha confirmed successfully","Captcha erfolgreich bestätigt"
"Clicks","Klicks"
"ClientLogin","ClientLogin"
"Confirm","Bestätigen"
"Current Mapping will be reloaded. Continue?","Aktuelle Zuordnung wird neu geladen. Weiterfahren?"
"Custom attribute, no mapping","Eigenes Attribut, keine Zuordnung"
"Default Store (%s)","Standard-Shop (%s)"
"Delete","Löschen"
"Delete Mapping","zuordnung löschen"
"Edit Item Type","Artikeltyp bearbeiten"
"Edit Item Type ""%s""","Artikeltyp ""%s"" bearbeiten"
"Error: %s","Fehler: %s"
"Euro","Euro"
"Expires","Gültig bis"
"Germany","Deutschland"
"Google Base","Google Base"
"Google Base Attribute","Google Base Attribut"
"Google Base ID","Google Base ID"
"Google Base Item Type","Google Base Artikeltyp"
"Google Base Item type","Google Base Artikeltyp"
"Google Base Items","Google Base Artikel"
"Hide","Verbergen"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Ungültiges Produktmodell für Google Base Artikel"
"Item Type was deleted","Artikeltyp gelöscht"
"Item Types","Artikeltypen"
"Item model is not specified to delete Google Base entry","Artikelmodell nicht angegeben zum Löschen des Google Base Eintrags"
"Item type was successfully saved","Artikeltyp erfolgreich gespeichert"
"Items","Artikel"
"Manage Attribute Mapping","Attribut-Zuordnungen verwalten"
"Manage Attributes","Attribute verwalten"
"Manage Items","Artikel verwalten"
"New Item Type","Neuer Artikeltyp"
"No","Nein"
"No items were deleted from Google Base","keine Artikel von Google Base gelöscht"
"No items were published","Keine Artikel veröffentlicht"
"No items were saved as Inactive items","Keine Artikel als inaktive Artikel gespeichert"
"No products were added to Google Base","Keine Produkte zu Google Base hinzugefügt"
"Object model is not specified to save Google Base entry","Objektmodell nicht angegeben zum Speichern des Google Base Eintrags"
"Page views","Page-Views (Seitenaufrufe)"
"Please, select Attribute Set and Google Item Type to load attributes","Bitte wählen Sie das Attributset und den Google Artikeltyp, um die Attribute zu laden"
"Product Name","Produktname"
"Publish","Veröffentlichen"
"Published","Veröffentlicht"
"Remove","Entfernen"
"Save Mapping","Zuordnung speichern"
"Synchronize","Synchronisieren"
"Target Country","Ziel-Land"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Diese Aktion wird die Artikelstatistik aktualisieren und die Artikel entfernen, die in Google Base nicht verfügbar sind. Weiterfahren?"
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","Es wurde(n) gesamthaft %d Artikel erfolgreich gelöscht, gesamthaft %d Artikel wurde(n) erfolgreich aktualisiert"
"Total of %d items(s) were successfully published","Gesamthaft %d Artikel wurde(n) erfolgreich veröffentlicht"
"Total of %d items(s) were successfully removed from Google Base","Gesamthaft %d Artikel wurde(n) erfolgriech von Google Base entfernt"
"Total of %d items(s) were successfully saved as Inactive items","Gesamthaft %d Artikel wurde(n) erfolgriech als inaktive Artikel gespeichert"
"Total of %d product(s) were successfully added to Google Base","Gesamthaft %d Produkt(e) wurde(n) erfolgreich zu Google Base hinzugefügt"
"US Dollar","US Dollar"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Kann nicht mit Google Base verbinden. Bitte die Konteneinstellungen in der Konfiguration überprüfen."
"United Kingdom","Vereinigtes Königreich"
"United States","Vereinigte Staaten"
"Update Google Base item when product is updated","Google Base Artikel aktualisieren, wenn das Produkt aktualisiert wird"
"View Available Products","Verfügbare Produkte anzeigen"
"View Item in Google Base","Artikel in Google Base anzeigen"
"Yes","Ja"
