"-- Please Select --","-- Bitte wählen --"
"Account Registration","Konten-Registrierung"
"All fields of script types have to be filled.","Alle Skripttypen-Felder müssen ausgefüllt werden."
"Attributes","Attribute"
"Category View Optimization","Kategorien-Ansicht-Optimierung"
"Control Script","Kontrollskript"
"Conversion Page","Umrechnungsseite"
"Conversion Page URL","URL der Umrechnungsseite"
"Conversion Script","Umrechnungsskript"
"Enable","Aktivieren"
"Google Optimizer Scripts","Google Optimizer Skripte"
"Google Website Optimizer","Google Website Optimizer"
"Install Scripts","Skripte installieren"
"Limit is 8 attributes only.","Auf nur 8 Attribute begrenzt."
"Multi Address Checkout","Multi-Adressen-Checkout"
"One Page Checkout","Einfacher Checkout"
"Order Success (Multi Address Checkout)","Bestellungserfolg (Multi-Adressen-Checkout)"
"Order Success (One Page Checkout)","Bestellungserfolg (einfacher Checkout)"
"Original Page","Originalseite"
"Other","Anderer"
"Page Type","Seitentyp"
"Page View Optimization","Page-View-Optimierung"
"Please copy and paste this value to experiment edit form","Bitte diesen Wert in das Test-Editierformular kopieren und einfügen"
"Please select store view to see the URL","Bitte die Shop-Ansicht angeben, um die URL zu sehen"
"Product View Optimization","Produktanzeige-Optimierung"
"Scripts Install URL","Skriptinstallations-URL"
"Shopping Cart","Warenkorb"
"Tracking Script","Tracking-Skript"
"Use Default","Standard benutzen"
"Use Default Values","Standardwerte benutzen"
"Variant Page","Variantenseite"
