"Abandoned carts","Stehen gelassene Warenkörbe"
"Action","Aktion"
"Add to Cart","In den Warenkorb"
"Add to Compare","Auf die Vergleichsliste"
"Add to Wishlist","Auf den Wunschzettel"
"Applied Coupon","Angewandter Gutschein"
"Avg. approved rating","Durchschn. anerkannte Bewertung"
"Avg. rating","Durchschn. Bewertung"
"Bestsellers","Bestseller"
"Bought from wishlists","Von Wunschzetteln gekauft"
"CSV","CSV"
"Carrier/Method","Versender/Versandart"
"Carts","Warenkörbe"
"Coupons","Gutscheine"
"Created at","Erstellt am"
"Customer","Kunde"
"Customer Name","Kundenname"
"Customer Tags","Kundenschlagwörter"
"Customers","Kunden"
"Customers Report","Kundenreport"
"Customers Reviews","Kundenmeinungen"
"Customers Tags","Kundenschlagwörter"
"Customers by number of orders","Kunden nach Bestellanzahl"
"Customers by orders total","Kunden nach Bestellsumme"
"Customers that have wishlist: %s%","Kunden mit Wunschzettel: %s%"
"Day","Tag"
"Default Recently Compared Products count","Standardanzahl zuletzt verglichener Produkte"
"Default Recently Viewed Products count","Standardanzahl zuletzt angesehener Produkte"
"Detail","Detail"
"Discounts","Rabatte"
"Downloads","Downloads"
"Email","E-Mail"
"Excel","Excel"
"First Name","Vorname"
"Guest","Gast"
"Hits","Aufrufe"
"ID","ID"
"Invalid date specified","Ungültiges Datum angegeben"
"Invoiced","In Rechnung gestellt"
"Items Ordered","Artikel bestellt"
"Items in Cart","Produkte im Warenkorb"
"Last Name","Nachname"
"Last Review","Letzte Kundenmeinung"
"Link","Link"
"Low stock","Tiefer Lagerbestand"
"Month","Monat"
"Most Viewed","Am meisten angesehen"
"Most viewed","Am meisten angesehen"
"Name","Name"
"New Accounts","Neue Kundenkonten"
"Number Added","Anzahl hinzugefügt"
"Number Fulfilled","Anzahl erfüllt"
"Number Of Historical Uses","Anzahl bisheriger Verwendungen"
"Number Of Reviews","Anzahl der Kundenmeinungen"
"Number Of Uses","Anzahl der Verwendungen"
"Number Purchased","Anzahl der Verkäufe"
"Number Viewed","Anzahl der Ansichten"
"Number of Items","Anzahl der Artikel"
"Number of Ivoiced Orders","Anzahl in Rechnung gestellter Bestellungen"
"Number of New Accounts","Anzahl neuer Kundenkonten"
"Number of Orders","Anzahl Bestellungen"
"Number of Refunded Orders","Anzahl zurück erstatteter Bestellungen"
"Number of Reviews","Anzahl Kundenmeinungen"
"Number of Total Tags","Gesamtanzahl der Schlagwörter"
"Number of Unique Tags","Anzahl einmaliger Schlagwörter"
"Number of Views","Anzahl Ansichten"
"Number of items bought from a wishlist: %s","Anzahl der von Wunschzetteln gekauften Produkte: %s"
"Number of times deleted","Anzahl Löschungen"
"Number of times wishlists have been shared (emailed): %s","Anzahl E-Mail-Versendungen eines Wunschzettels: %s"
"Number of wishlist conversions: %s","Anzahl Wunschzettel-Umwandlungen: %s"
"Number of wishlist referrals: %s","Anzahl Wunschzettel-Empfehlungen: %s"
"Number of wishlists: %s","Anzahl Wunschzettel: %s"
"Offline Refunded","Offline erstattet"
"Online Refunded","Online erstattet"
"Orders","Bestellungen"
"Out of stock","Nicht am Lager"
"Poducts Report","Produktreport"
"Popular Tags","Häufige Schlagwörter"
"Popularity","Beliebtheit"
"Price","Preis"
"Product Name","Produktname"
"Product Reviews","Kundenmeinungen für Produkte"
"Product Sku","Artikelnummer"
"Product Tags","Produkt-Schlagwörter"
"Products","Produkte"
"Products Report","Produktreport"
"Products Reviews","Kundenmeinungen zu Produkten"
"Products Sold","Verkaufte Produkte"
"Products Tags","Produkt-Schlagwörter"
"Products in carts","Produkte in Warenkörben"
"Purchases","Käufe"
"Quantity Ordered","Bestellmenge"
"Quantity of Items","Artikelmenge"
"Rate","Rate"
"Recently Compared Products","Zuletzt verglichene Artikel"
"Recently Viewed Products","Zuletzt angesehene Artikel"
"Recently Viewed/Compared Products","Zuletzt angesehene/verglichene Artikel"
"Refunded","Erstattet"
"Reports","Reporte"
"Results","Ergebnisse"
"Revenue","Einnahmen"
"Review","Kundenmeinung"
"Reviews","Kundenmeinungen"
"Reviews for %s","Kundenmeinungen für %s"
"Sales","Verkäufe"
"Sales Report","Verkaufsreport"
"Search Terms","Suchbegriffe"
"Shipping","Versand"
"Shopping Cart","Warenkorb"
"Show for Current","Anzeigen für den aktuellen"
"Stock Qty","Lagerbestand"
"Submitted In","Übermittelt in"
"Submitted On","Übermittelt am"
"Subtotal","Zwischentotal"
"Tag","Schlagwort"
"Tag ""%s"" details","Details für Schlagwort ""%s"" "
"Tag Detail","Schlagwortdetails"
"Tag Name","Schlagwortname"
"Tag use","Schlagwortverwendung"
"Tags submited by %s","Schlagwörter übermittelt von %s"
"Tags submitted to %s","Schlagwörter übermittelt für %s"
"Tax","Steuer"
"Tax Amount","Steuerbetrag"
"Title","Titel"
"Total","Gesamt"
"Total Invoiced","Total in Rechnung gestellt"
"Total Invoiced Captured","Total in Rechnung gestellt, erfasst"
"Total Invoiced not Captured","Total in Rechnung gestellt, nicht erfasst"
"Total Refunded","Gesamterstattung"
"Total Shipping","Gesamtversandkosten"
"Total Tags","Gesamtanzahl Schlagwörter"
"Total invoiced","in Rechnung gestellter Gesamtbetrag "
"Total refunded","Gesamterstattung"
"Updated at","Aktualisiert am"
"Visible In","Sichtbar in"
"Wishlist Report","Wunschzettel-Report"
"Wishlist vs. Regular Order","Wunschzettel gg. Bestellungen"
"Wishlists","Wunschzettel"
"Year","Jahr"
"Your Recently Compared","Von Ihnen zuletzt verglichen"
"Your Recently Viewed","Von Ihnen zuletzt angesehen"
