"ALL","ALLE"
"ANY","BELIEBIGE"
"Add","Hinzufügen"
"Apply","Anwenden"
"Description: %s","Beschreibung: %s"
"Expire at: %s","Endet am: %s"
"FALSE","FALSCH"
"If %s of these conditions are %s:","Wenn %s dieser Bedingungen %s sind:"
"Invalid discount amount.","Invalid discount amount."
"MATCHING ALL","BEINHALTE ALLE"
"MATCHING ANY","BEINHALTE EINES"
"NOT MATCHING ALL","BEINHALTE KEINES"
"NOT MATCHING ANY","BEINHALTE EINES NICHT
Start at: %s"""
"Name: %s","Name: %s"
"Open Chooser","Öffne Auswahlmöglichkeit"
"Perform following actions","Folgende Aktionen ausführen"
"Please choose a condition to add...","Bitte eine Bedingung auswählen, die hinzugefügt werden soll..."
"Please choose an action to add...","Bitte eine Aktion auswählen, die hinzugefügt werden soll..."
"Remove","Entfernen"
"Start at: %s","Start at: %s"
"TRUE","WAHR"
"by","um"
"contains","beinhaltet"
"does not contain","beinhaltet nicht"
"equals or greater than","ist grösser oder gleich"
"equals or less than","ist kleiner oder gleich"
"greater than","grösser als"
"is","is"
"is not","ist nicht"
"is not one of","ist keines von"
"is one of","ist eines von"
"less than","kleiner als"
"to","bis"
