"%s is not supported currency.","%s ist keine unterstützte Währung."
"Accept","Akzeptieren"
"Basic","Basis"
"Cannot retreive rate from strikeirion.","Kann die Rate bei Strikeiron nicht finden."
"Cannot retrieve rate from %s to %s","Kann die Rate von %s bis %s nicht finden"
"Check all email servers","Alle E-Mail-Server prüfen"
"Complete","Komplett"
"Country/Region/Postal code combination","Kombination Land/Region/Postleitzahl"
"Customer Tax Class","Kunden Steuersatz"
"Email Verification","E-Mail-Überprüfung"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","E-Mail-Adresse kann nicht verifiziert werden. Bitte stellen Sie sicher, dass Ihre E-Mail-Adresse korrekt eingetragen ist."
"Enable US address verification","US-Adressen-Überprüfung aktivieren"
"Enable email verification","E-Mail-Überprüfung aktivieren"
"Enable foreign exchange rate","Fremder Wechselkurs aktivieren"
"Enable global address verification","Allgemeine Adressen-Überprüfung aktivieren"
"Enable sales and use tax","Verkaufs- und Nutzungssteuer aktivieren"
"Error Email Recipient","Fehler im E-Mail-Empfänger"
"Error Email Sender","Fehler im E-Mail-Absender"
"Error Email Template","Fehler in der E-Mail-Vorlage"
"Error address action","Fehler in der Adressen-Aktion"
"Foreign Exchange Rates","Fremde Wechselkurse"
"Global Address Verification","Allgemeine Adressen-Überprüfung"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","Falls der Typ komplett ist und die PLZ mehreren Steuersätzen zugeordnet ist, wählen Sie, ob der Mindeststeuersatz oder der Maximal-Steuersat verrechnet wird."
"Invalid email address","Ungültige E-Mail-Adresse"
"Maximum tax rate","Maximal-Steuersatz"
"Minimum tax rate","Mindeststeuersatz"
"Password","Kennwort"
"Pop up warning and accept","Popup-Warnung und -Akzeptierdialog"
"Product Tax Class","Produkt-Steuersatz"
"Reject","Verwerfen"
"Sales and Use Tax","Verkaufs- und Nutzungssteuer"
"Sales and Use Tax Type","Verkaufs- und Nutzungssteuer-Typ"
"Strikeiron","Strikeiron"
"Strikeiron Config","Strikeiron Konfiguration"
"Strikeiron Section","Bereich Strikeiron"
"Strikeiron foreign exchange rate is disabled","Fremdwechselkurs für Strikeiron ist deaktiviert"
"Tax","Steuer"
"There is an error in retrieving tax rate. Please contact us","Fehler beim Auffinden des Steuersatzes. Bitte mit uns Kontakt aufnehmen."
"There is an error in verifying an email. Please contact us.","Fehler bei der E-Mail-Adressen-Überprüfung. Bitte mit uns Kontakt aufnehmen."
"There is no more hits remaining for the foreign Exchange Rate Service.","Es bleiben keine Aufrufe übrig für den Fremdwechselkurs-Dienst."
"There is no response back from Strikeiron server","Der Strikeiron-Server gibt keine Antwort"
"US Address Verification","US-Adressen-Überprüfung"
"Undetermined email action","E-Mail-Aktion nicht festgelegt"
"Use","Nutzung"
"User ID","Benutzer-ID"
"Verify address in admin","Adresse in Admin überprüfen"
"Verify email in admin","E-Mail in Admin überprüfen"
