"# of Uses","Anzahl Verwendungen"
"%s tag(s) have been accepted for moderation","%s Schlagwörter wurden zur Moderation zugelassen"
"Action","Aktion"
"Actions","Aktionen"
"Add New Tag","Neues Schlagwort hinzufügen"
"Add Tags","Schlagwörter hinzufügen"
"Add Your Tags:","Fügen Sie Ihre Schlagwörter hinzu:"
"Add to Cart","In den Warenkorb"
"Add to Wishlist","Auf den Wunschzettel"
"All Tags","Alle Schlagwörter"
"Approved","Bestätigt"
"Are you sure that you want to delete this tag?","Möchten Sie dieses Schlagwort wirklich löschen?"
"Are you sure you want to delete this tag?","Möchten Sie dieses Schlagwort wirklich löschen?"
"Are you sure you want to do this?","Sind Sie sicher, dass Sie dies tun wollen?"
"Are you sure?","Sind Sie sicher?"
"Back","Zurück"
"Back to Tags List","Zurück zur Schlagwortliste"
"Back to view Tag","Zurück zur Schlagwortansicht"
"Block Information","Blockinformation"
"CSV","CSV"
"Change status","Status ändern"
"Click on a tag to view your corresponding products.","Klicken Sie auf ein Schlagwort, um übereinstimmende Artikel anzuzeigen."
"Country","Land"
"Customer Since","Kunde seit"
"Customers","Kunden"
"Customers Tagged '%s'","Kunden, die '%s' verschlagwortet haben"
"Delete","Löschen"
"Delete Tag","Schlagwort löschen"
"Disabled","Deaktiviert"
"Edit Tag","Schlagwort bearbeiten"
"Edit Tag '%s'","Schlagwort '%s' bearbeiten"
"Email","E-Mail"
"First Name","Vorname"
"General Information","Allgemeine Information"
"Grid","Gitter"
"ID","ID"
"Last Name","Nachname"
"List","Liste"
"My Recent Tags","Meine neuesten Schlagwörter"
"My Tags","Meine Schlagwörter"
"Name","Name"
"New Tag","Neues Schlagwort"
"No matches found.","Keine Übereinstimmungen gefunden."
"Other people marked this product with these tags:","Andere haben diesen Artikel mit folgenden Schlagwörtern markiert:"
"Pending","Ausstehend"
"Pending Tags","Ausstehende Schlagwörter"
"Popular","Beliebteste"
"Popular Tags","Häufigste Schlagwörter"
"Popularity","Beliebtheit"
"Price","Preis"
"Product Name","Artikelname"
"Product SKU","Artikelnummer"
"Product Tags","Artikel-Schlagwörter"
"Products","Produkte"
"Products Tagged with '%s'","Produkte mit Schlagwort '%s'"
"Products tagged with '%s'","Produkte mit Schlagwort '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Produkte mit Schlagwort '%s' (<a href='%s' title='RSS Feed'>RSS</a>)"
"SKU","Artikelnummer"
"Save Tag","Schlagwort speichern"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Suchergebnisse für '%s' (<a href='%s' title='RSS'>RSS</a>)"
"Search Terms","Suchbegriffe"
"Status","Status"
"Tag","Schlagwort"
"Tag ""%s"" has already been added to the product","Schlagwort ""%s"" wurde bereits zum Produkt hinzugefügt"
"Tag Information","Schlagwortinformationen"
"Tag Name","Schlagwortname"
"Tag Name: %s","Schlagwortname: <strong>%s</strong>"
"Tag can't be empty.","Tag can't be empty."
"Tagged in","Verschlagwortet in"
"Tags","Schlagwörter"
"Tags Aren't Available","Schlagwörter sind nicht verfügbar"
"Tags:","Schlagwörter:"
"Telephone","Telefon"
"Thank you. Your tag has been accepted for moderation.","Vielen Dank. Ihr Schlagwort wurde übertragen und wird geprüft."
"Unable to find any products tagged with '%s' in the current store","Konnte keine Produkte, die mit '%s' verschlagwortet sind, im Shop finden"
"Unable to remove tag. Please, try again later.","Entfernen des Schlagwortes nicht möglich. Bitte versuchen Sie es später noch einmal."
"Unable to save tag(s)","Speichern von Schlagwort bzw. Schlagwörtern nicht möglich"
"Unable to save your tag. Please, try again later.","Speichern des Schlagworts nicht möglich. Bitte versuchen Sie es später noch einmal."
"Use spaces to separate tags. Use single quotes (') for phrases.","Benutzen Sie Leerzeichen, um Schlagwörter zu trennen. Schliessen Sie ganze Phrasen in Hochkommas (') ein."
"Uses","verwendet"
"View All","Alle anzeigen"
"View All Tags","Alle Schlagwörter ansehen"
"View Customers","Kunden ansehen"
"View Products","Artikel ansehen"
"Visible In","Sichtbar in"
"XML","XML"
"You have not tagged any products yet.","Sie haben bisher noch keine Artikel verschlagwortet."
"Your tag was successfully deleted","Ihr Schlagwort wurde erfolgreich gelöscht"
"Your tag was successfully saved","Ihr Schlagwort wurde erfolgreich gespeichert"
"ZIP/Post Code","Postleitzahl"
"You have not tagged any products yet.","You have not tagged any products yet."
